A. Indians,Indians,South America,,,,,,,,,,
Black,sons of Africa,coloured,dark,Africans,African,colour,Coloured,Colour,black,Blacks,Blacks,Negro
White,Great Britain,white,Whites,whites,Britain,,,,,,,
Jefferson,,,,,,,,,,,,
Greeks,Greek,,,,,,,,,,,
Irish,,,,,,,,,,,,
Jewish,Jews,,,,,,,,,,,
American,Americans,,,,,,,,,,,
Egypt,Egyptians,,,,,,,,,,,
Israel,Israelites,Israelite,,,,,,,,,,
Roman,Romans,,,,,,,,,,,
Ethiopians,,,,,,,,,,,,
Christians,Christian,,,,,,,,,,,
Turks,,,,,,,,,,,,
N,NIGGER,,,,,,,,,,,
Britain,Great Britain,,,,,,,,,,,
Gaul,,,,,,,,,,,,
Spain,,,,,,,,,,,,
Asia,mulattoes,,,,,,,,,,,
Bretheren,bretheren,,,,,,,,,,,
Human,human,men,Men,MEN,human beings,,,,,,,
Southerners,,,,,,,,,,,,
Westerners,,,,,,,,,,,,
subjected,,,,,,,,,,,,
under,,,,,,,,,,,,
Brute,brutes,brute,Brutes,,,,,,,,,
Slave,slave,Slaves,slaves,SLAVES,slavery,Slavery,enslave,Enslave,Enslaving,enslaving,,
blood,,,,,,,,,,,,
tears,,,,,,,,,,,,
Wretched,wretchedness,wretched,wretches,,,,,,,,,
degraded,,,,,,,,,,,,
Abject,abject,,,,,,,,,,,
Cruel,cruel,cruelties,Cruelties,cruelty,Cruelty,,,,,,,
Heathen,heathen,heathens,Heathens,,,,,,,,,
reduced,,,,,,,,,,,,
Devil,devils,devil,devilishness,,,,,,,,,
Hard,hard,,,,,,,,,,,
Misery,misery,miseries,Miseries,,,,,,,,,
insult,insults,,,,,,,,,,,
Inferior,inferior,Inferiority,inferiority,,,,,,,,,
Suffer,suffer,suffering,sufferings,,,,,,,,,
shame,,,,,,,,,,,,
wicked,,,,,,,,,,,,
Enemy,enemy,Enemies,enemies,,,,,,,,,
hellish,,,,,,,,,,,,
Chain,chain,chains,Chains,,,,,,,,,
victims,,,,,,,,,,,,
Oppression,oppressor,oppressed,oppression,,,,,,,,,
handcuffs,handcuffed,,,,,,,,,,,
Fear,fear,Afraid,afraid,,,,,,,,,
Butcher,butcheries,butcher,butchered,Butchered,,,,,,,,
Murder,murderer,murderers,Murderer,murder,Murderers,murdered,Murdered,merderous,Merderous,,,
dismayed,,,,,,,,,,,,
stolen,,,,,,,,,,,,
Ignorant,,,,,,,,,,,,
Avarice,avarice,avaricious,Avaricious,,,,,,,,,
unfortunate,,,,,,,,,,,,
infernal,,,,,,,,,,,,
Unmerciful,unmerciful,,,,,,,,,,,
servile,,,,,,,,,,,,
Barbarous,barbarous,barbarity,Barbarity,,,,,,,,,
apprehension,,,,,,,,,,,,
Severe,severe,,,,,,,,,,,
Strenuous,strenuous,strenuously,,,,,,,,,,
deny,,,,,,,,,,,,
dragged,,,,,,,,,,,,
helpless,,,,,,,,,,,,
Prisoner,prisoner,prisoners,,,,,,,,,,
condemned,,,,,,,,,,,,
Hinder,hinder,,,,,,,,,,,
inheritence,,,,,,,,,,,,
Death,dying,death,die,Die,Dying,,,,,,,
Worm,worm,worms,,,,,,,,,,
Submission,submissive,submission,Submissive,,,,,,,,,
unjust,,,,,,,,,,,,
jealous,,,,,,,,,,,,
blood-thirsty,,,,,,,,,,,,
deceitful,,,,,,,,,,,,
unfair,,,,,,,,,,,,
Punish,punish,punishment,,,,,,,,,,
Inflict,inflict,inflicted,,,,,,,,,,
destruction,,,,,,,,,,,,
Tyrant,tyrant,Tryrants,tyrants,,,,,,,,,
consequence,,,,,,,,,,,,
mistaken,,,,,,,,,,,,
dethrone,,,,,,,,,,,,
prejudice,,,,,,,,,,,,
Suspect,suspect,suspicion,,,,,,,,,,
beloved,,,,,,,,,,,,
Free,free,freedom,Freedom,,,,,,,,,
Englightened,enlightened,,,,,,,,,,,
unprejudiced,,,,,,,,,,,,
glad,,,,,,,,,,,,
well,,,,,,,,,,,,
fertile,,,,,,,,,,,,
Peace,peace,peacably,,,,,,,,,,
sacred,,,,,,,,,,,,
education,learning,knowledge,learned,,,,,,,,,
pleasures,,,,,,,,,,,,
respectable,,,,,,,,,,,,
united,,,,,,,,,,,,
trust,,,,,,,,,,,,
humble,,,,,,,,,,,,
amusing,,,,,,,,,,,,
Right,right,rights,,,,,,,,,,
justice,,,,,,,,,,,,
mercy,,,,,,,,,,,,
pleased,,,,,,,,,,,,
lawful,,,,,,,,,,,,
glorious,,,,,,,,,,,,
heavenly,,,,,,,,,,,,
smile,,,,,,,,,,,,
provisions,,,,,,,,,,,,
Refute,refute,refutations,refuted,,,,,,,,,
establish,,,,,,,,,,,,
Obtian,obtain,obtaining,,,,,,,,,,
eminence,,,,,,,,,,,,
holding,,,,,,,,,,,,
Enrich,enriching,enrich,,,,,,,,,,
good,,,,,,,,,,,,
avidity,,,,,,,,,,,,
spirit,,,,,,,,,,,,
talent,talents,,,,,,,,,,,
excelled,,,,,,,,,,,,
employed,,,,,,,,,,,,
great,,,,,,,,,,,,
sensible,,,,,,,,,,,,
good,,,,,,,,,,,,
