American Indians,Indian,Indians,South American,North American,aboriginal people,Red,indian,south american,north american,red,,,,,,
Black,blacks,negro,African Descent,African-born,Negresses,Negroes,black,Negro,african descent,african-born,negresses,negroes,,,,
White,whites,Homo sapiens Europaeus,Europeans,Northern Europeans,white,Whites,,,,,,,,,,
Jefferson,Thomas Jefferson,Notes on the State of Virginia,,,,,,,,,,,,,,
Roman,Romans,roman,romans,,,,,,,,,,,,,
Human,humans,human,Humans,,,,,,,,,,,,,
People,humankind,mankind,man,people,Humankind,Mankind,Man,,,,,,,,,
Humanity,humanity,,,,,,,,,,,,,,,
Woman,woman,,,,,,,,,,,,,,,
Enlightened,enlightenment,enlightened,Enlightenment,,,,,,,,,,,,,
Ardor,ardent,ardor,Ardent,,,,,,,,,,,,,
Impotent,impotent,,,,,,,,,,,,,,,
Brave,bravery,brave,Bravery,,,,,,,,,,,,,
Preservation,preservation,,,,,,,,,,,,,,,
Firmness,firmness,,,,,,,,,,,,,,,
Religious,religious,,,,,,,,,,,,,,,
Enthusiasm,entusiasm,,,,,,,,,,,,,,,
Affectionate,affections,affectionate,Affectionate,,,,,,,,,,,,,
Careful,careful,,,,,,,,,,,,,,,
Faithful,faithful,,,,,,,,,,,,,,,
Sensibility,sensibility,,,,,,,,,,,,,,,
Keen,keen,,,,,,,,,,,,,,,
Superior,superiority,superior,Superiority,,,,,,,,,,,,,
Vivacity,vivacity,,,,,,,,,,,,,,,
Genius,genius,,,,,,,,,,,,,,,
Greater,greater,,,,,,,,,,,,,,,
Beauty,beauty,,,,,,,,,,,,,,,
Fine,fine,,,,,,,,,,,,,,,
Expressions,expressions,,,,,,,,,,,,,,,
Passion,passion,,,,,,,,,,,,,,,
Flowing,flowing,,,,,,,,,,,,,,,
Elegant,elegant,,,,,,,,,,,,,,,
Symmetry,symmetry,,,,,,,,,,,,,,,
Favour,favour,,,,,,,,,,,,,,,
Preference,preference,,,,,,,,,,,,,,,
Adventuresome,adventuresome,,,,,,,,,,,,,,,
Tender,tender,,,,,,,,,,,,,,,
Delicate,delicate,,,,,,,,,,,,,,,
Sentiment,sentiment,,,,,,,,,,,,,,,
Sensation,sensation,,,,,,,,,,,,,,,
Reflection,reflection,,,,,,,,,,,,,,,
Educated,educated,,,,,,,,,,,,,,,
Sublime,sublime,,,,,,,,,,,,,,,
Glowing,glowing,,,,,,,,,,,,,,,
Elevated,elevated,,,,,,,,,,,,,,,
Gifted,gifted,,,,,,,,,,,,,,,
Accurate,accurate,,,,,,,,,,,,,,,
Capable,capable,,,,,,,,,,,,,,,
Dignity,dignity,,,,,,,,,,,,,,,
Positive,positive,,,,,,,,,,,,,,,
Rational,rational,,,,,,,,,,,,,,,
Logical,logical,,,,,,,,,,,,,,,
Intellect,intellects,intellect,Intellects,,,,,,,,,,,,,
Free,free,,,,,,,,,,,,,,,
Hope,hope,,,,,,,,,,,,,,,
Equal,equality,equally,equal,Equality,Equally,,,,,,,,,,,
Voracious,voracious,,,,,,,,,,,,,,,
Blend,blend,,,,,,,,,,,,,,,
Intermix,intermix,,,,,,,,,,,,,,,
Defective,defective,,,,,,,,,,,,,,,
Barbarian,barbarism,barbarians,barabrous,barbarian,Barbarism,Barbarians,Barbarous,Barbarian,,,,,,,,
Unjust,unjust,,,,,,,,,,,,,,,
Drudgery,drudges,drudgery,Drudges,,,,,,,,,,,,,
Inhuman,inhuman,,,,,,,,,,,,,,,
Colonized,colonized,,,,,,,,,,,,,,,
Monotony,monotony,,,,,,,,,,,,,,,
Immoveable,immoveable,,,,,,,,,,,,,,,
Veil,veil,,,,,,,,,,,,,,,
Covers,covers,,,,,,,,,,,,,,,
Orangotang,oranootan,orangotang,oran-ootans,Orang-outans,orang-ootans,oranootans,orang-outan,orang-ootan,Oranootan,Orangotang,Oran-ootans,orang-outans,Orang-ootans,Oranootans,Orang-outan,Orang-ootan
Disagreeable,disagreeable,,,,,,,,,,,,,,,
Odour,odour,,,,,,,,,,,,,,,
Animal,animal,,,,,,,,,,,,,,,
Induced,induced,,,,,,,,,,,,,,,
Forethought,forethought,,,,,,,,,,,,,,,
Desire,desire,,,,,,,,,,,,,,,
Transient,transient,,,,,,,,,,,,,,,
Sensation,sensation,,,,,,,,,,,,,,,
Tasteless,tasteless,,,,,,,,,,,,,,,
Anomalous,anamolous,,,,,,,,,,,,,,,
Plain,plain,,,,,,,,,,,,,,,
Elementary,elementary,,,,,,,,,,,,,,,
Restraint,restraint,,,,,,,,,,,,,,,
Below,below,,,,,,,,,,,,,,,
Inferior,inferiority,inferior,Inferiority,,,,,,,,,,,,,
Racist,racist,,,,,,,,,,,,,,,
Illogical,illogical,,,,,,,,,,,,,,,
Bias,bias,,,,,,,,,,,,,,,
Expense,expense,,,,,,,,,,,,,,,
Prejudice,prejudices,prejudice,Prejudices,,,,,,,,,,,,,
Injuries,injuries,,,,,,,,,,,,,,,
Dull,dull,,,,,,,,,,,,,,,
Disguised,disguised,,,,,,,,,,,,,,,
Subjective,subjective,,,,,,,,,,,,,,,
Degenerate,degenerate,,,,,,,,,,,,,,,
Merciless,merciless,,,,,,,,,,,,,,,
Undistinguished,undistinguished,,,,,,,,,,,,,,,
Savage,savages,,,,,,,,,,,,,,,
Condemned,condemned,,,,,,,,,,,,,,,
Boisterous,boisterous,,,,,,,,,,,,,,,
Unremitting,unremitting,,,,,,,,,,,,,,,
Despotism,despotism,,,,,,,,,,,,,,,
Degrading,degrading,,,,,,,,,,,,,,,
Submissions,submissions,,,,,,,,,,,,,,,
Disposition,disposition,,,,,,,,,,,,,,,
Improvement,improvement,,,,,,,,,,,,,,,
Abject,abject,,,,,,,,,,,,,,,
Bottom,bottom,,,,,,,,,,,,,,,
Diffidence,diffidence,,,,,,,,,,,,,,,
Stain,staining,stain,Staining,,,,,,,,,,,,,
Remove,removed,remove,Removed,,,,,,,,,,,,,
Deportation,deportation,,,,,,,,,,,,,,,
Phobia,phobia,,,,,,,,,,,,,,,
Animal,animals,animal's,brute,animal,Animals,Animal's,Brute,,,,,,,,,
Interbreeding,interspecies,interbreeding,Interspecies,,,,,,,,,,,,,
Enslavement,enslavement,,,,,,,,,,,,,,,
Sordid,sordid,,,,,,,,,,,,,,,
Avarice,avarice,,,,,,,,,,,,,,,
